sentence_id,text,aspect_terms,aspect_categories
782#1,"Do'stim, Toshkentdagi eng zo'r osh uchun bu yerga kelinng!","[{'from': 44, 'polarity': 'positive', 'term': 'yerga', 'to': 49}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
353#1,Mazali tayyorlangan,[],"[{'category': 'ovqat', 'polarity': 'positive'}]"
2435#1,"Ajoyib muassasa, yaxshi xizmat 👍 mazali taom 👌","[{'from': 24, 'polarity': 'positive', 'term': 'xizmat', 'to': 30}
 {'from': 41, 'polarity': 'positive', 'term': 'aom', 'to': 45}
 {'from': 7, 'polarity': 'positive', 'term': 'muassasa', 'to': 15}]","[{'category': 'xizmat', 'polarity': 'positive'}
 {'category': 'muhit', 'polarity': 'positive'}]"
1706#1,"Ilgari bu joy biz uchun oilaviy restoranga o'xshardi, men oilam bilan har qanday qulay vaqtda boradigan joy edi.","[{'from': 10, 'polarity': 'positive', 'term': 'joy', 'to': 13}]","[{'category': 'muhit', 'polarity': 'positive'}]"
251#6,"Bundan tashqari, mazali salatlar mavjud.","[{'from': 24, 'polarity': 'positive', 'term': 'salatlar', 'to': 32}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
375#2,"Kokteyllar zo'r, taqdimot chiroyli ... Narx o'rtachadan biroz yuqori, barda har bir kokteyl 60-70 ming.","[{'from': 0, 'polarity': 'positive', 'term': 'Kokteyllar', 'to': 10}
 {'from': 17, 'polarity': 'positive', 'term': 'taqdimot', 'to': 25}
 {'from': 39, 'polarity': 'negative', 'term': 'Narx', 'to': 43}]","[{'category': 'ovqat', 'polarity': 'positive'}
 {'category': 'muhit', 'polarity': 'positive'}
 {'category': 'narx', 'polarity': 'negative'}]"
2413#2,"Ovqat juda mazali edi, men hammaga maslahat beraman","[{'from': 0, 'polarity': 'positive', 'term': 'Ovqat', 'to': 5}
 {'from': 27, 'polarity': 'positive', 'term': 'hammaga', 'to': 34}]","[{'category': 'boshqalar', 'polarity': 'positive'}
 {'category': 'ovqat', 'polarity': 'positive'}]"
1743#1,"Menga juda yoqdi, rahmat!","[{'from': 18, 'polarity': 'positive', 'term': 'rahmat', 'to': 24}]","[{'category': 'boshqalar', 'polarity': 'positive'}]"
2087#2,Taom juda mazali.,"[{'from': 0, 'polarity': 'positive', 'term': 'Taom', 'to': 4}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
3#1,Hammasi yaxshi edi!,"[{'from': 0, 'polarity': 'positive', 'term': 'Hammasi', 'to': 7}]","[{'category': 'boshqalar', 'polarity': 'positive'}]"
1392#1,Ular sayyohlarni aldamoqda.,"[{'from': 5, 'polarity': 'negative', 'term': 'sayyohlarni', 'to': 16}]","[{'category': 'boshqalar', 'polarity': 'negative'}]"
2592#3,Yaxshi muhit va mazali taomlar... mehmondo'stlik uchun ham rahmat..,"[{'from': 7, 'polarity': 'positive', 'term': 'muhit', 'to': 12}
 {'from': 23, 'polarity': 'positive', 'term': 'taomlar', 'to': 30}]","[{'category': 'muhit', 'polarity': 'positive'}
 {'category': 'ovqat', 'polarity': 'positive'}
 {'category': 'xizmat', 'polarity': 'positive'}]"
625#3,Ofitsiantlar juda yaxshi.,"[{'from': 0, 'polarity': 'positive', 'term': 'Ofitsiantlar', 'to': 12}]","[{'category': 'xizmat', 'polarity': 'positive'}]"
2143#3,Stolingiz ustidagi jihozlarga e'tibor bering🤮,"[{'from': 19, 'polarity': 'neutral', 'term': 'jihozlarga', 'to': 29}]","[{'category': 'boshqalar', 'polarity': 'neutral'}]"
458#2,Faqat ikkinchi qavatdagi hojatxona yomon ahvolda.,"[{'from': 25, 'polarity': 'negative', 'term': 'hojatxona', 'to': 34}]","[{'category': 'muhit', 'polarity': 'negative'}]"
1868#1,"O'zbekistonda turk taomlari uchun eng mashhur joy, Toshkent","[{'from': 46, 'polarity': 'positive', 'term': 'joy', 'to': 49}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
2004#4,Turkiya shu yerda.,"[{'from': 0, 'polarity': 'neutral', 'term': 'Turkiya', 'to': 7}]","[{'category': 'boshqalar', 'polarity': 'neutral'}]"
2318#1,Mazali va qulay,[],"[{'category': 'muhit', 'polarity': 'positive'}
 {'category': 'ovqat', 'polarity': 'positive'}]"
1270#3,"Turk va Yevropa taomlarining katta tanlovi, pitsa va kokteyllar va, albatta, mazali muzqaymoq.","[{'from': 84, 'polarity': 'positive', 'term': 'muzqaymoq', 'to': 93}
 {'from': 16, 'polarity': 'positive', 'term': 'taomlarining', 'to': 28}
 {'from': 44, 'polarity': 'positive', 'term': 'pitsa va kokteyllar', 'to': 63}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
1499#2,Toshkentga tashrif buyurgan mehmonlarimiz katta taassurot qoldirdi.,"[{'from': 48, 'polarity': 'neutral', 'term': 'taassurot', 'to': 57}]","[{'category': 'boshqalar', 'polarity': 'neutral'}]"
1884#9,Men u erga boshqa bormayman!,"[{'from': 6, 'polarity': 'negative', 'term': 'erga', 'to': 10}]","[{'category': 'boshqalar', 'polarity': 'negative'}]"
813#3,"Nopok, lekin juda arzon.","[{'from': 0, 'polarity': 'negative', 'term': 'Nopok', 'to': 5}]","[{'category': 'muhit', 'polarity': 'negative'}
 {'category': 'narx', 'polarity': 'positive'}]"
2773#3,"Xodimlar muloyim, tashqi suv tuman yordamida sovutiladi.","[{'from': 25, 'polarity': 'positive', 'term': 'suv tuman', 'to': 34}
 {'from': 0, 'polarity': 'positive', 'term': 'Xodimlar', 'to': 8}]","[{'category': 'xizmat', 'polarity': 'positive'}
 {'category': 'muhit', 'polarity': 'positive'}]"
117#4,5 soat o'tirdim.,[],"[{'category': 'boshqalar', 'polarity': 'neutral'}]"
1678#2,Chiroyli muhit va ajoyib taom.,"[{'from': 25, 'polarity': 'positive', 'term': 'taom', 'to': 29}
 {'from': 9, 'polarity': 'positive', 'term': 'muhit', 'to': 14}]","[{'category': 'ovqat', 'polarity': 'positive'}
 {'category': 'muhit', 'polarity': 'positive'}]"
1405#3,"Juda samimiy xizmat, ofitsiantlar yordam berishdan va menyudan biror narsa taklif qilishdan mamnun.","[{'from': 13, 'polarity': 'positive', 'term': 'xizmat', 'to': 19}]","[{'category': 'xizmat', 'polarity': 'positive'}]"
2528#1,Ajoyib restoran.,"[{'from': 7, 'polarity': 'positive', 'term': 'restoran', 'to': 15}]","[{'category': 'muhit', 'polarity': 'positive'}]"
583#4,"Gapirishga til ojiz , faqat his-tuyg'ular.","[{'from': 28, 'polarity': 'neutral', 'term': ""his-tuyg'ular."", 'to': 42}]","[{'category': 'boshqalar', 'polarity': 'neutral'}]"
1953#2,Oddiy ovqatlanish.,"[{'from': 6, 'polarity': 'neutral', 'term': 'ovqatlanish', 'to': 17}]","[{'category': 'ovqat', 'polarity': 'neutral'}]"
563#1,"Eng zo'r xizmat va eng mazali taomlar, ayniqsa ""BESHBARMAK"" TANDOR restoranida!","[{'from': 30, 'polarity': 'positive', 'term': 'taomlar', 'to': 37}
 {'from': 48, 'polarity': 'positive', 'term': 'BESHBARMAK', 'to': 58}
 {'from': 9, 'polarity': 'positive', 'term': 'xizmat', 'to': 15}]","[{'category': 'xizmat', 'polarity': 'positive'}
 {'category': 'ovqat', 'polarity': 'positive'}]"
2205#1,"Biftek, makaron, salat va pizza uchun shahardagi go'zal joylardan biri.","[{'from': 0, 'polarity': 'positive', 'term': 'Biftek, makaron, salat va pizza', 'to': 31}]","[{'category': 'muhit', 'polarity': 'positive'}]"
1155#2,"Profilga qaytish ""Rayhon""","[{'from': 18, 'polarity': 'positive', 'term': 'Rayhon', 'to': 24}]","[{'category': 'boshqalar', 'polarity': 'neutral'}]"
402#5,"Bir necha kishi uchun taomlar bor, men bu yerga yana do'stlarim bilan qaytib kelaman deb o'ylayman.","[{'from': 22, 'polarity': 'positive', 'term': 'taomlar', 'to': 29}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
2691#1,"Joyga kirganida, tushlik vaqti 13.00 bo'lsa ham, mehmonlar yo'q edi.","[{'from': 49, 'polarity': 'negative', 'term': 'mehmonlar', 'to': 58}]","[{'category': 'boshqalar', 'polarity': 'negative'}]"
526#1,tinch shinam,[],"[{'category': 'muhit', 'polarity': 'positive'}]"
1584#2,"30 daqiqa kutdik, ofitsiant kelmadi.","[{'from': 18, 'polarity': 'negative', 'term': 'ofitsiant', 'to': 27}]","[{'category': 'xizmat', 'polarity': 'negative'}]"
2240#1,"Ajoyib atmosfera, mazali taom.","[{'from': 25, 'polarity': 'positive', 'term': 'taom', 'to': 29}
 {'from': 7, 'polarity': 'positive', 'term': 'atmosfera', 'to': 16}]","[{'category': 'muhit', 'polarity': 'positive'}
 {'category': 'ovqat', 'polarity': 'positive'}]"
1173#1,"Chiroyli joy, gavjum, shovqinli, lekin bu yerda taomlar juda zo'r; narxi arzondir.","[{'from': 67, 'polarity': 'positive', 'term': 'narxi', 'to': 72}
 {'from': 9, 'polarity': 'positive', 'term': 'joy', 'to': 12}
 {'from': 14, 'polarity': 'neutral', 'term': 'gavjum', 'to': 20}
 {'from': 22, 'polarity': 'negative', 'term': 'shovqinli', 'to': 31}
 {'from': 48, 'polarity': 'positive', 'term': 'taomlar', 'to': 55}]","[{'category': 'muhit', 'polarity': 'conflict'}
 {'category': 'narx', 'polarity': 'positive'}
 {'category': 'ovqat', 'polarity': 'positive'}]"
1930#1,"Joylashuvi yaxshi, taomlari mazali.","[{'from': 19, 'polarity': 'positive', 'term': 'taomlari', 'to': 27}
 {'from': 0, 'polarity': 'positive', 'term': 'Joylashuvi', 'to': 10}]","[{'category': 'muhit', 'polarity': 'positive'}
 {'category': 'ovqat', 'polarity': 'positive'}]"
2266#2,Filtrlangan va filtrlanmagan turlari bor.,"[{'from': 0, 'polarity': 'neutral', 'term': 'Filtrlangan va filtrlanmagan', 'to': 28}]","[{'category': 'ovqat', 'polarity': 'neutral'}]"
1136#1,Oila davrasida mazali taomlar !!,"[{'from': 22, 'polarity': 'positive', 'term': 'taomlar', 'to': 29}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
1975#1,Chiroyli va shinam,[],"[{'category': 'muhit', 'polarity': 'negative'}]"
194#2,Oilaviy borsa boʻladi.,[],"[{'category': 'boshqalar', 'polarity': 'neutral'}]"
939#13,CHUNKI ODAMLAR KO'P.,"[{'from': 7, 'polarity': 'neutral', 'term': 'ODAMLAR', 'to': 14}]","[{'category': 'muhit', 'polarity': 'neutral'}]"
2223#2,Va siz burchakka o'tiring.,"[{'from': 7, 'polarity': 'neutral', 'term': ""burchakka o'tiring"", 'to': 25}]","[{'category': 'muhit', 'polarity': 'neutral'}]"
780#3,Menga yoqdi.,[],"[{'category': 'boshqalar', 'polarity': 'positive'}]"
1988#1,An'anaviy turk taomlari.,"[{'from': 15, 'polarity': 'neutral', 'term': 'taomlari', 'to': 23}]","[{'category': 'ovqat', 'polarity': 'neutral'}]"
2472#3,Tavsiya eting.,[],"[{'category': 'boshqalar', 'polarity': 'positive'}]"
1579#2,Menga xizmat umuman yoqmadi.,"[{'from': 6, 'polarity': 'negative', 'term': 'xizmat', 'to': 12}]","[{'category': 'xizmat', 'polarity': 'negative'}]"
2570#4,Juda tavsiya etiladi!,[],"[{'category': 'boshqalar', 'polarity': 'positive'}]"
939#8,"LEKIN OSH MARKAZIDAN YAXSHI, OSHNI hayotda yemaganman.","[{'from': 29, 'polarity': 'positive', 'term': 'OSHNI', 'to': 34}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
2535#4,Milliy uslubdagi restoran.,"[{'from': 18, 'polarity': 'neutral', 'term': 'restoran', 'to': 26}]","[{'category': 'muhit', 'polarity': 'neutral'}]"
2629#1,2 soat kutganimdan keyin ham buyurtmani ololmadim.,"[{'from': 29, 'polarity': 'negative', 'term': 'buyurtmani', 'to': 39}]","[{'category': 'xizmat', 'polarity': 'negative'}]"
253#4,"Xodimlar sizning barcha istaklaringizni inobatga olgan juda ehtiyotkorlik bilan xizmat ko'rsatishardi, restoran menejeri Natalidan mamnunmiz.","[{'from': 0, 'polarity': 'positive', 'term': 'Xodimlar', 'to': 8}]","[{'category': 'xizmat', 'polarity': 'positive'}]"
2104#1,Pizzani boshqa joyda yeyish yaxshidir,"[{'from': 0, 'polarity': 'negative', 'term': 'Pizzani', 'to': 7}]","[{'category': 'ovqat', 'polarity': 'negative'}]"
2947#1,"Mazali taomlar, ajoyib interyer, menga bu joy juda yoqadi, oxirgi vaqtlarda ofitsiantlar (aniqrog'i ofitsiant bilan) bilan bog'liq muammo bor, chunki mijozlar bilan takabburlik bilan muloqot qilishadi.","[{'from': 77, 'polarity': 'negative', 'term': 'ofitsiantlar', 'to': 89}
 {'from': 7, 'polarity': 'positive', 'term': 'taomlar', 'to': 14}
 {'from': 23, 'polarity': 'positive', 'term': 'interyer', 'to': 31}
 {'from': 39, 'polarity': 'positive', 'term': 'bu joy', 'to': 45}]","[{'category': 'xizmat', 'polarity': 'negative'}
 {'category': 'ovqat', 'polarity': 'positive'}
 {'category': 'muhit', 'polarity': 'positive'}]"
662#1,Ko'p.,[],"[{'category': 'boshqalar', 'polarity': 'neutral'}]"
2141#1,"Oshxona a'lo darajada, narxlar arzon emas, qulay, oilaviy restoran.","[{'from': 23, 'polarity': 'negative', 'term': 'narxlar', 'to': 30}
 {'from': 58, 'polarity': 'neutral', 'term': 'restoran', 'to': 66}
 {'from': 0, 'polarity': 'positive', 'term': 'Oshxona', 'to': 7}]","[{'category': 'narx', 'polarity': 'negative'}
 {'category': 'muhit', 'polarity': 'neutral'}
 {'category': 'ovqat', 'polarity': 'positive'}]"
1685#2,"Plov yaxshi edi, lekin afsuski, issiq emas.","[{'from': 0, 'polarity': 'conflict', 'term': 'Plov', 'to': 4}]","[{'category': 'ovqat', 'polarity': 'conflict'}]"
627#1,Har doim ajoyib Shasilik,"[{'from': 16, 'polarity': 'positive', 'term': 'Shasilik', 'to': 24}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
2902#1,Ajoyib kafe,"[{'from': 7, 'polarity': 'positive', 'term': 'kafe', 'to': 11}]","[{'category': 'muhit', 'polarity': 'positive'}]"
58#1,Yaqinda u dahshatli kafega aylandi!,"[{'from': 20, 'polarity': 'negative', 'term': 'kafega', 'to': 26}]","[{'category': 'muhit', 'polarity': 'negative'}]"
2590#1,Qoniqarli,[],"[{'category': 'boshqalar', 'polarity': 'neutral'}]"
1272#1,"Idish-tovoq, internet, xizmat ko'rsatish ... Hammasi mukammal.","[{'from': 0, 'polarity': 'positive', 'term': 'Idish-tovoq', 'to': 11}
 {'from': 13, 'polarity': 'positive', 'term': 'internet, xizmat', 'to': 29}
 {'from': 45, 'polarity': 'positive', 'term': 'Hammasi', 'to': 52}]","[{'category': 'ovqat', 'polarity': 'positive'}
 {'category': 'xizmat', 'polarity': 'positive'}
 {'category': 'boshqalar', 'polarity': 'positive'}]"
644#2,Ta'mi haqida gapirmasa ham bo'ladi.,"[{'from': 0, 'polarity': 'positive', 'term': ""Ta'mi"", 'to': 5}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
1313#5,"Bu degani, ular shunchaki u yerga borishmaydi.","[{'from': 28, 'polarity': 'neutral', 'term': 'yerga', 'to': 33}]","[{'category': 'muhit', 'polarity': 'neutral'}]"
1237#1,Mazali oshxona.,"[{'from': 7, 'polarity': 'positive', 'term': 'oshxona', 'to': 14}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
2677#2,Har bir taom haqiqatan ham juda mazali va uning xodimlari bizga juda yaxshi munosabatda bo'lishdi.,"[{'from': 0, 'polarity': 'positive', 'term': 'Har bir taom', 'to': 12}
 {'from': 48, 'polarity': 'positive', 'term': 'xodimlari', 'to': 57}]","[{'category': 'xizmat', 'polarity': 'positive'}
 {'category': 'ovqat', 'polarity': 'positive'}]"
952#2,Bitta kichik poertsiyaga ikkita kishi bemalol to'yishi mumkin.,"[{'from': 13, 'polarity': 'neutral', 'term': 'poertsiyaga', 'to': 26}]","[{'category': 'ovqat', 'polarity': 'neutral'}]"
1562#1,Ofitsantlani muomilasi yoq umuman 👎👎,"[{'from': 0, 'polarity': 'negative', 'term': 'Ofitsantlani', 'to': 12}]","[{'category': 'xizmat', 'polarity': 'negative'}]"
154#2,"Masalan, 2016-yil 27-oktabr soat 13:24 da administrator kameradan qarab turgan edi, ertaga kelishsin.",[],"[{'category': 'boshqalar', 'polarity': 'neutral'}]"
1891#5,Bu vaziyatda ofitsiant aybdor edi.,"[{'from': 13, 'polarity': 'negative', 'term': 'ofitsiant', 'to': 22}]","[{'category': 'xizmat', 'polarity': 'negative'}]"
1527#1,Atmosfera yaxshi va xalqaro taomlarni taklif qiladi!,"[{'from': 0, 'polarity': 'positive', 'term': 'Atmosfera', 'to': 9}
 {'from': 28, 'polarity': 'neutral', 'term': 'taomlarni', 'to': 37}]","[{'category': 'muhit', 'polarity': 'positive'}
 {'category': 'ovqat', 'polarity': 'neutral'}]"
585#2,Yetkazib beruvchi qo'pol.,"[{'from': 0, 'polarity': 'negative', 'term': 'Yetkazib beruvch', 'to': 16}]","[{'category': 'xizmat', 'polarity': 'negative'}]"
172#1,Yaxshi Bir oz qimmatroq uzuk bilan taqqoslaganda.,"[{'from': 24, 'polarity': 'conflict', 'term': 'uzuk', 'to': 28}]","[{'category': 'narx', 'polarity': 'conflict'}]"
1739#3,Avtomobil to'xtash joyiga chidash mumkin.,"[{'from': 19, 'polarity': 'neutral', 'term': 'joyiga', 'to': 25}]","[{'category': 'muhit', 'polarity': 'neutral'}]"
931#1,Super joy,"[{'from': 6, 'polarity': 'positive', 'term': 'joy', 'to': 9}]","[{'category': 'muhit', 'polarity': 'positive'}]"
2614#1,"Men ""The Host "" ni ikki marta ovqatlanganman, bir marta o'zim bilan olib keitsh va bir marta etkazib berish orqali .","[{'from': 4, 'polarity': 'neutral', 'term': '""The Host ""', 'to': 15}]","[{'category': 'ovqat', 'polarity': 'neutral'}]"
137#1,Ikki yil oldin bu restoran butunlay boshqacha edi.,"[{'from': 18, 'polarity': 'neutral', 'term': 'restoran', 'to': 26}]","[{'category': 'muhit', 'polarity': 'neutral'}]"
2651#1,Toshkentdagi yaxshi hind taomlari,"[{'from': 21, 'polarity': 'positive', 'term': 'hind taomlari', 'to': 34}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
2280#1,"Juda yaxshi atmosfera, yaxshi pivo va ingliz tilida so'zlashadigan xodimlar.","[{'from': 12, 'polarity': 'positive', 'term': 'atmosfera', 'to': 21}
 {'from': 30, 'polarity': 'positive', 'term': 'pivo', 'to': 34}
 {'from': 67, 'polarity': 'positive', 'term': 'xodimlar', 'to': 75}]","[{'category': 'muhit', 'polarity': 'positive'}
 {'category': 'ovqat', 'polarity': 'positive'}
 {'category': 'xizmat', 'polarity': 'positive'}]"
1544#2,"Kirish joyidagi ayol meni g'alati tarzda kutib oldi, bu esa o'zimni juda yoqimsiz his qildi.","[{'from': 16, 'polarity': 'negative', 'term': 'ayol', 'to': 20}]","[{'category': 'xizmat', 'polarity': 'negative'}]"
2775#5,Yagona kamchilik pivo sotilmasligida edi.,"[{'from': 17, 'polarity': 'negative', 'term': 'pivo', 'to': 21}]","[{'category': 'boshqalar', 'polarity': 'negative'}]"
1269#2,Lekin ko'p odamlar bor.,"[{'from': 11, 'polarity': 'neutral', 'term': 'odamlar', 'to': 18}]","[{'category': 'boshqalar', 'polarity': 'neutral'}]"
65#1,Vaqtini qadrlaydiganlar uchun bu joyni tavsiya etmayman!,[],"[{'category': 'xizmat', 'polarity': 'negative'}]"
1480#3,":)) ""Mehmon oz ovqat yeydi!""","[{'from': 15, 'polarity': 'neutral', 'term': 'ovqat', 'to': 20}]","[{'category': 'ovqat', 'polarity': 'neutral'}]"
1812#3,Juda yaxshi xizmat.,"[{'from': 12, 'polarity': 'positive', 'term': 'xizmat', 'to': 18}]","[{'category': 'xizmat', 'polarity': 'positive'}]"
20#1,"Ovqat ajoyib, keng va yaxshi restoran edi","[{'from': 29, 'polarity': 'positive', 'term': 'restoran', 'to': 37}
 {'from': 0, 'polarity': 'positive', 'term': 'Ovqat', 'to': 5}]","[{'category': 'ovqat', 'polarity': 'positive'}
 {'category': 'muhit', 'polarity': 'positive'}]"
2139#1,"Ajoyib xizmat, qulay muhit, mazali taom.","[{'from': 35, 'polarity': 'positive', 'term': 'taom', 'to': 39}
 {'from': 7, 'polarity': 'positive', 'term': 'xizmat', 'to': 13}
 {'from': 21, 'polarity': 'positive', 'term': 'muhit', 'to': 26}]","[{'category': 'ovqat', 'polarity': 'positive'}
 {'category': 'xizmat', 'polarity': 'positive'}
 {'category': 'muhit', 'polarity': 'positive'}]"
2225#4,Bu yerda Bamberg Draft pivosi ajoyib.,"[{'from': 9, 'polarity': 'positive', 'term': 'Bamberg Draft pivosi', 'to': 29}]","[{'category': 'ovqat', 'polarity': 'positive'}]"
